Industry,City,State,Zip Code,Latitude,Longitude,Major 1,Major 2,Major 3,Major 4,Major 5,Class Year,Class Year Date
Social Service,Brookfield,IL,60513,41.825124,-87.8500644,Sociology,Anthropology,,,,2002,1/1/2002
"Building, Trades, and Crafts",Clarendon Hills,IL,60514,41.7975307,-87.9547835,Economics,,,,,1978,1/1/1978
Marketing,Clarendon Hills,IL,60514,41.7975307,-87.9547835,Political Science,,,,,1957,1/1/1957
Education,Downers Grove,IL,60515,41.8132909,-88.0216334,Geology,,,,,1980,1/1/1980
"Libraries, Archives, and Museums",Downers Grove,IL,60515,41.8132909,-88.0216334,American Studies,,,,,1998,1/1/1998
Marketing,Downers Grove,IL,60515,41.8132909,-88.0216334,Studio Art,,,,,1987,1/1/1987
Business and Commerce,Hinsdale,IL,60521,41.7967461,-87.9285777,History,,,,,1951,1/1/1951
Clergy and Religious Leadership,Hinsdale,IL,60521,41.7967461,-87.9285777,Classics,,,,,1998,1/1/1998
Legal Professions,Hinsdale,IL,60521,41.7967461,-87.9285777,Economics,,,,,1969,1/1/1969
Counseling,Oak Brook,IL,60523,41.8397865,-87.9535534,Psychology,,,,,1954,1/1/1954
Student,Oak Brook,IL,60523,41.8397865,-87.9535534,Art History,,,,,1998,1/1/1998
"Banking, Finance, and Investment",La Grange,IL,60525,41.8050314,-87.8692254,English,,,,,1981,1/1/1981
Human Resources,La Grange,IL,60525,41.8050314,-87.8692254,Psychology,,,,,2016,1/1/2016
Other,La Grange,IL,60525,41.8050314,-87.8692254,Mathematics,,,,,1986,1/1/1986
Public Service,La Grange,IL,60525,41.8050314,-87.8692254,Political Science,Technology and Policy Studies,,,,1992,1/1/1992
"Banking, Finance, and Investment",La Grange Park,IL,60526,41.8354236,-87.8697056,History,,,,,1953,1/1/1953
"Banking, Finance, and Investment",La Grange Park,IL,60526,41.8354236,-87.8697056,Geology,,,,,1986,1/1/1986
Student,La Grange Park,IL,60526,41.8354236,-87.8697056,English,,,,,1954,1/1/1954
Insurance,Lisle,IL,60532,41.794402,-88.0803051,Mathematics,,,,,1976,1/1/1976
"Banking, Finance, and Investment",Naperville,IL,60540,41.7606321,-88.1437782,Economics,,,,,1994,1/1/1994
"Banking, Finance, and Investment",Naperville,IL,60540,41.7606321,-88.1437782,Geology,,,,,1978,1/1/1978
Homemaking,Naperville,IL,60540,41.7606321,-88.1437782,Studio Art,,,,,1952,1/1/1952
Computers/IT,Plainfield,IL,60544,41.6173377,-88.2169027,No Major,,,,,1973,1/1/1973
Clergy and Religious Leadership,Sandwich,IL,60548,41.6458634,-88.6217432,Political Science,,,,,1950,1/1/1950
Communications and Media,Sugar Grove,IL,60554,41.7702607,-88.4597673,Romance Languages,,,,,1982,1/1/1982
Student,Warrenville,IL,60555,41.836351,-88.2169027,Philosophy,,,,,1974,1/1/1974
Homemaking,Western Springs,IL,60558,41.8061539,-87.8991514,English,,,,,1985,1/1/1985
Business and Commerce,Westmont,IL,60559,41.7976163,-87.9775787,Sociology,,,,,1948,1/1/1948
Education,Westmont,IL,60559,41.7976163,-87.9775787,Music,,,,,2002,1/1/2002
Student,Darin,IL,60561,41.7478867,-87.9775787,Economics,,,,,1981,1/1/1981
Communications and Media,Naperville,IL,60563,41.7962928,-88.1974148,Physics,Mathematics,,,,1979,1/1/1979
"Libraries, Archives, and Museums",Naperville,IL,60563,41.7962928,-88.1974148,History,Archaeology,,,,2011,1/1/2011
Communications and Media,Naperville,IL,60565,41.7353591,-88.1193763,English,,,,,1976,1/1/1976
Computers/IT,Naperville,IL,60565,41.7353591,-88.1193763,Biology,,,,,1973,1/1/1973
Counseling,Naperville,IL,60565,41.7353591,-88.1193763,Psychology,,,,,1990,1/1/1990
Counseling,Plainfield,IL,60586,41.5726561,-88.231513,No Major,,,,,1959,1/1/1959
Business and Commerce,Chicago,IL,60601,41.8839927,-87.6197056,Political Science,,,,,2013,1/1/2013
Business and Commerce,Chicago,IL,60601,41.8839927,-87.6197056,Economics,,,,,1990,1/1/1990
Healthcare,Chicago,IL,60601,41.8839927,-87.6197056,Economics,,,,,2013,1/1/2013
Volunteering,Chicago,IL,60603,41.8809155,-87.6254251,Latin American Studies,,,,,1998,1/1/1998
Business and Commerce,Chicago,IL,60605,41.8703314,-87.6235742,History,French,,,,1991,1/1/1991
Communications and Media,Chicago,IL,60605,41.8703314,-87.6235742,English,Literature and Film Studies,,,,1989,1/1/1989
Environment and Recreation,Chicago,IL,60605,41.8703314,-87.6235742,Physics,,,,,1980,1/1/1980
Healthcare,Chicago,IL,60605,41.8703314,-87.6235742,Economics,,,,,2016,1/1/2016
Legal Professions,Chicago,IL,60605,41.8703314,-87.6235742,History,,,,,2010,1/1/2010
Business and Commerce,Chicago,IL,60606,41.8817767,-87.6371461,Political Science,,,,,2012,1/1/2012
"Banking, Finance, and Investment",Chicago,IL,60607,41.8733696,-87.650714,Economics,,,,,2005,1/1/2005
"Banking, Finance, and Investment",Chicago,IL,60607,41.8733696,-87.650714,Mathematics,,,,,1999,1/1/1999
Legal Professions,Chicago,IL,60607,41.8733696,-87.650714,History,European Studies,,,,2006,1/1/2006
Marketing,Chicago,IL,60607,41.8733696,-87.650714,Political Science,,,,,2010,1/1/2010
Business and Commerce,Chicago,IL,60608,41.8492122,-87.6713199,Economics,,,,,2010,1/1/2010
Other,Chicago,IL,60608,41.8492122,-87.6713199,Sociology,Anthropology,,,,1987,1/1/1987
Social Service,Chicago,IL,60608,41.8492122,-87.6713199,Biology,Public Policy,,,,2020,1/1/2020
Business and Commerce,Chicago,IL,60610,41.9003099,-87.6333871,Sociology,Anthropology,,,,1973,1/1/1973
Legal Professions,Chicago,IL,60610,41.9003099,-87.6333871,History,,,,,1955,1/1/1955
Performing Arts,Chicago,IL,60610,41.9003099,-87.6333871,Sociology,Anthropology,,,,1971,1/1/1971
"Banking, Finance, and Investment",Chicago,IL,60611,41.8925085,-87.6161696,Economics,,,,,2005,1/1/2005
"Banking, Finance, and Investment",Chicago,IL,60611,41.8925085,-87.6161696,Political Science,,,,,1960,1/1/1960
Communications and Media,Chicago,IL,60611,41.8925085,-87.6161696,No Major,,,,,1975,1/1/1975
Healthcare,Chicago,IL,60611,41.8925085,-87.6161696,Studio Art,,,,,1958,1/1/1958
Healthcare,Chicago,IL,60611,41.8925085,-87.6161696,Geology,,,,,1980,1/1/1980
Legal Professions,Chicago,IL,60611,41.8925085,-87.6161696,Political Science,,,,,1955,1/1/1955
Legal Professions,Chicago,IL,60611,41.8925085,-87.6161696,Political Science,,,,,1983,1/1/1983
Other,Chicago,IL,60611,41.8925085,-87.6161696,No Major,,,,,1950,1/1/1950
Public Service,Chicago,IL,60611,41.8925085,-87.6161696,Economics,,,,,1966,1/1/1966
Real Estate,Chicago,IL,60611,41.8925085,-87.6161696,No Major,,,,,1958,1/1/1958
Social Sciences,Chicago,IL,60611,41.8925085,-87.6161696,Economics,French,,,,1993,1/1/1993
Education,Chicago,IL,60612,41.8816606,-87.6926257,Latin American Studies,,,,,1991,1/1/1991
"Banking, Finance, and Investment",Chicago,IL,60613,41.9577761,-87.6556468,Political Science,,,,,2016,1/1/2016
"Banking, Finance, and Investment",Chicago,IL,60613,41.9577761,-87.6556468,No Major,,,,,1980,1/1/1980
Business and Commerce,Chicago,IL,60613,41.9577761,-87.6556468,English,,,,,2009,1/1/2009
Business and Commerce,Chicago,IL,60613,41.9577761,-87.6556468,Economics,,,,,1991,1/1/1991
Computers/IT,Chicago,IL,60613,41.9577761,-87.6556468,History,,,,,1988,1/1/1988
Education,Chicago,IL,60613,41.9577761,-87.6556468,English,,,,,1986,1/1/1986
Fundraising,Chicago,IL,60613,41.9577761,-87.6556468,English,,,,,1976,1/1/1976
Performing Arts,Chicago,IL,60613,41.9577761,-87.6556468,History,,,,,2003,1/1/2003
Performing Arts,Chicago,IL,60613,41.9577761,-87.6556468,Cinema and Media Studies,Theater Arts,,,,1993,1/1/1993
Research and Development,Chicago,IL,60613,41.9577761,-87.6556468,Chemistry,Biochemistry,,,,2018,1/1/2018
Service/Hospitality,Chicago,IL,60613,41.9577761,-87.6556468,History,East Asian Studies,,,,1989,1/1/1989
Student,Chicago,IL,60613,41.9577761,-87.6556468,Physics,Women's and Gender Studies,,,,2013,1/1/2013
"Banking, Finance, and Investment",Chicago,IL,60614,41.9203468,-87.6433139,Economics,History,,,,1998,1/1/1998
"Banking, Finance, and Investment",Chicago,IL,60614,41.9203468,-87.6433139,Undecided,,,,,1987,1/1/1987
"Banking, Finance, and Investment",Chicago,IL,60614,41.9203468,-87.6433139,Religion,,,,,2001,1/1/2001
Business and Commerce,Chicago,IL,60614,41.9203468,-87.6433139,Economics,,,,,2005,1/1/2005
Business and Commerce,Chicago,IL,60614,41.9203468,-87.6433139,Asian Studies,,,,,1979,1/1/1979
Communications and Media,Chicago,IL,60614,41.9203468,-87.6433139,American Studies,,,,,2015,1/1/2015
Healthcare,Chicago,IL,60614,41.9203468,-87.6433139,Chemistry,,,,,1999,1/1/1999
Legal Professions,Chicago,IL,60614,41.9203468,-87.6433139,Mathematics,,,,,1968,1/1/1968
Legal Professions,Chicago,IL,60614,41.9203468,-87.6433139,Political Science,,,,,2000,1/1/2000
Marketing,Chicago,IL,60614,41.9203468,-87.6433139,Geology,,,,,2014,1/1/2014
Military/Protective Services,Chicago,IL,60614,41.9203468,-87.6433139,Political Science,,,,,1974,1/1/1974
Public Service,Chicago,IL,60614,41.9203468,-87.6433139,Chemistry,,,,,2001,1/1/2001
Real Estate,Chicago,IL,60614,41.9203468,-87.6433139,Mathematics,,,,,1983,1/1/1983
Social Sciences,Chicago,IL,60614,41.9203468,-87.6433139,Economics,,,,,1991,1/1/1991
Student,Chicago,IL,60614,41.9203468,-87.6433139,Psychology,,,,,1996,1/1/1996
Communications and Media,Chicago,IL,60615,41.8003921,-87.603826,Philosophy,"Science, Technology, and Public Policy",,,,1985,1/1/1985
Communications and Media,Chicago,IL,60615,41.8003921,-87.603826,Film Studies,,,,,1980,1/1/1980
Counseling,Chicago,IL,60615,41.8003921,-87.603826,Psychology,,,,,1968,1/1/1968
Education,Chicago,IL,60615,41.8003921,-87.603826,Mathematics,,,,,2001,1/1/2001
Healthcare,Chicago,IL,60615,41.8003921,-87.603826,Biology,,,,,1975,1/1/1975
"Libraries, Archives, and Museums",Chicago,IL,60615,41.8003921,-87.603826,No Major,,,,,1976,1/1/1976
Other,Chicago,IL,60615,41.8003921,-87.603826,History,,,,,1973,1/1/1973
Other,Chicago,IL,60615,41.8003921,-87.603826,History,African/African-American Studies,African/African-American Studies,,,1993,1/1/1993
Public Service,Chicago,IL,60615,41.8003921,-87.603826,Religion,,,,,2013,1/1/2013
Sports,Chicago,IL,60615,41.8003921,-87.603826,French,,,,,1991,1/1/1991
Student,Chicago,IL,60616,41.8403395,-87.6137011,Political Science,,,,,2003,1/1/2003
Social Service,Chicago,IL,60617,41.7246539,-87.5494745,Sociology,,,,,1970,1/1/1970
Arts and Design,Chicago,IL,60618,41.9464283,-87.7074089,Studio Art,,,,,1976,1/1/1976
"Banking, Finance, and Investment",Chicago,IL,60618,41.9464283,-87.7074089,English,,,,,1995,1/1/1995
Computers/IT,Chicago,IL,60618,41.9464283,-87.7074089,Studio Art,Computer Science,,,,2014,1/1/2014
Computers/IT,Chicago,IL,60618,41.9464283,-87.7074089,Economics,,,,,1986,1/1/1986
Homemaking,Chicago,IL,60618,41.9464283,-87.7074089,Political Science,,,,,1983,1/1/1983
Social Service,Chicago,IL,60618,41.9464283,-87.7074089,Latin American Studies,,,,,2006,1/1/2006
Social Service,Chicago,IL,60618,41.9464283,-87.7074089,Political Science,,,,,1995,1/1/1995
Social Service,Chicago,IL,60618,41.9464283,-87.7074089,Art History,,,,,1999,1/1/1999
Student,Chicago,IL,60618,41.9464283,-87.7074089,No Major,,,,,1976,1/1/1976
Student,Chicago,IL,60618,41.9464283,-87.7074089,Political Science,,,,,2005,1/1/2005
Social Service,Chicago,IL,60620,41.7470143,-87.6679765,Sociology,Anthropology,Women's and Gender Studies,,,2006,1/1/2006
"Banking, Finance, and Investment",Chicago,IL,60622,41.9013087,-87.6827676,Economics,,,,,1990,1/1/1990
Education,Chicago,IL,60622,41.9013087,-87.6827676,Psychology,,,,,1982,1/1/1982
Education,Chicago,IL,60622,41.9013087,-87.6827676,English,,,,,2005,1/1/2005
Engineering,Chicago,IL,60622,41.9013087,-87.6827676,Chemistry,,,,,2009,1/1/2009
Healthcare,Chicago,IL,60622,41.9013087,-87.6827676,Political Science,,,,,2010,1/1/2010
Legal Professions,Chicago,IL,60622,41.9013087,-87.6827676,Classics,Theater Arts,,,,2015,1/1/2015
Marketing,Chicago,IL,60622,41.9013087,-87.6827676,Economics,,,,,2010,1/1/2010
Military/Protective Services,Chicago,IL,60622,41.9013087,-87.6827676,No Major,,,,,1982,1/1/1982
Clergy and Religious Leadership,Chicago,IL,60625,41.9711068,-87.7024817,Political Science,,,,,1974,1/1/1974
Communications and Media,Chicago,IL,60625,41.9711068,-87.7024817,Film Studies,,,,,1977,1/1/1977
Education,Chicago,IL,60625,41.9711068,-87.7024817,English,,,,,2003,1/1/2003
Education,Chicago,IL,60625,41.9711068,-87.7024817,No Major,,,,,1977,1/1/1977
Education,Chicago,IL,60625,41.9711068,-87.7024817,Cinema and Media Studies,American Studies,,,,2001,1/1/2001
Environment and Recreation,Chicago,IL,60625,41.9711068,-87.7024817,Political Science,,,,,2011,1/1/2011
Fundraising,Chicago,IL,60625,41.9711068,-87.7024817,Chemistry,,,,,1986,1/1/1986
Healthcare,Chicago,IL,60625,41.9711068,-87.7024817,Biology,,,,,2006,1/1/2006
Legal Professions,Chicago,IL,60625,41.9711068,-87.7024817,Latin American Studies,,,,,1987,1/1/1987
Public Service,Chicago,IL,60625,41.9711068,-87.7024817,Spanish,,,,,2014,1/1/2014
Real Estate,Chicago,IL,60625,41.9711068,-87.7024817,History,,,,,2002,1/1/2002
Research and Development,Chicago,IL,60625,41.9711068,-87.7024817,Economics,,,,,2000,1/1/2000
Social Service,Chicago,IL,60625,41.9711068,-87.7024817,Women's and Gender Studies,,,,,2002,1/1/2002
Social Service,Chicago,IL,60625,41.9711068,-87.7024817,Psychology,,,,,1970,1/1/1970
Student,Chicago,IL,60625,41.9711068,-87.7024817,French,,,,,2003,1/1/2003
Arts and Design,Chicago,IL,60626,42.0099321,-87.663045,Music,,,,,1986,1/1/1986
Communications and Media,Chicago,IL,60626,42.0099321,-87.663045,Economics,,,,,1962,1/1/1962
Homemaking,Chicago,IL,60626,42.0099321,-87.663045,Sociology,Anthropology,,,,1995,1/1/1995
"Libraries, Archives, and Museums",Chicago,IL,60626,42.0099321,-87.663045,English,,,,,1970,1/1/1970
Sciences,Chicago,IL,60626,42.0099321,-87.663045,Physics,,,,,1997,1/1/1997
Social Service,Chicago,IL,60626,42.0099321,-87.663045,Political Science,,,,,2005,1/1/2005
Student,Chicago,IL,60626,42.0099321,-87.663045,English,East Asian Studies,,,,1995,1/1/1995
Arts and Design,Chicago,IL,60630,41.9720786,-87.7517295,Undecided,Spanish,,,,1988,1/1/1988
Homemaking,Chicago,IL,60630,41.9720786,-87.7517295,Religion,,,,,2004,1/1/2004
Research and Development,Chicago,IL,60630,41.9720786,-87.7517295,Physics,,,,,1970,1/1/1970
Education,Chicago,IL,60632,41.8074687,-87.7074089,Sociology,Anthropology,French and Francophone Studies,,,2001,1/1/2001
Other,Chicago,IL,60634,41.947969,-87.7861711,No Major,,,,,1952,1/1/1952
Arts and Design,Chicago,IL,60637,41.7805099,-87.603826,Studio Art,,,,,1998,1/1/1998
Communications and Media,Chicago,IL,60637,41.7805099,-87.603826,English,,,,,1963,1/1/1963
Counseling,Chicago,IL,60637,41.7805099,-87.603826,History,,,,,1968,1/1/1968
Performing Arts,Chicago,IL,60637,41.7805099,-87.603826,Biology,,,,,2010,1/1/2010
Real Estate,Chicago,IL,60637,41.7805099,-87.603826,English,,,,,1968,1/1/1968
Research and Development,Chicago,IL,60637,41.7805099,-87.603826,Psychology,Music,,,,2020,1/1/2020
Student,Chicago,IL,60637,41.7805099,-87.603826,Sociology,Anthropology,South Asian Studies,,,2013,1/1/2013
Student,Chicago,IL,60637,41.7805099,-87.603826,No Major,,,,,2012,1/1/2012
Education,Chicago,IL,60638,41.7887483,-87.7664934,Latin American Studies,,,,,1999,1/1/1999
Military/Protective Services,Chicago,IL,60639,41.9225138,-87.7517295,No Major,,,,,2010,1/1/2010
"Banking, Finance, and Investment",Chicago,IL,60640,41.9703133,-87.663045,American Studies,,,,,2005,1/1/2005
Communications and Media,Chicago,IL,60640,41.9703133,-87.663045,English,,,,,2008,1/1/2008
Communications and Media,Chicago,IL,60640,41.9703133,-87.663045,History,,,,,1989,1/1/1989
Communications and Media,Chicago,IL,60640,41.9703133,-87.663045,English,,,,,1953,1/1/1953
Counseling,Chicago,IL,60640,41.9703133,-87.663045,Psychology,European Studies,,,,2012,1/1/2012
Counseling,Chicago,IL,60640,41.9703133,-87.663045,French,,,,,2007,1/1/2007
Insurance,Chicago,IL,60640,41.9703133,-87.663045,Biology,,,,,2003,1/1/2003
Languages,Chicago,IL,60640,41.9703133,-87.663045,English,,,,,1992,1/1/1992
Marketing,Chicago,IL,60640,41.9703133,-87.663045,Psychology,,,,,1994,1/1/1994
Performing Arts,Chicago,IL,60640,41.9703133,-87.663045,Cinema and Media Studies,,,,,2001,1/1/2001
Performing Arts,Chicago,IL,60640,41.9703133,-87.663045,English,,,,,1971,1/1/1971
Performing Arts,Chicago,IL,60640,41.9703133,-87.663045,English,South Asian Studies,,,,2009,1/1/2009
Sciences,Chicago,IL,60640,41.9703133,-87.663045,Geology,,,,,2008,1/1/2008
Fundraising,Chicago,IL,60641,41.9472058,-87.7468071,English,,,,,2005,1/1/2005
"Libraries, Archives, and Museums",Chicago,IL,60641,41.9472058,-87.7468071,Psychology,,,,,2009,1/1/2009
Legal Professions,Chicago,IL,60642,41.9007097,-87.6531805,Political Science,,,,,1970,1/1/1970
Research and Development,Chicago,IL,60642,41.9007097,-87.6531805,Biology,,,,,2020,1/1/2020
Social Sciences,Chicago,IL,60642,41.9007097,-87.6531805,Political Science,Educational Studies,,,,2001,1/1/2001
Legal Professions,Chicago,IL,60643,41.6773775,-87.6538017,Sociology,Anthropology,,,,2008,1/1/2008
"Building, Trades, and Crafts",Chicago,IL,60645,42.0105286,-87.6926257,English,,,,,1977,1/1/1977
Planning,Chicago,IL,60645,42.0105286,-87.6926257,Political Science,,,,,1987,1/1/1987
Social Service,Chicago,IL,60645,42.0105286,-87.6926257,Cinema and Media Studies,,,,,2013,1/1/2013
Legal Professions,Lincolnwood,IL,60646,41.9920835,-87.7615726,No Major,,,,,1945,1/1/1945
Arts and Design,Chicago,IL,60647,41.9215421,-87.7024817,Art History,French,,,,1991,1/1/1991
Arts and Design,Chicago,IL,60647,41.9215421,-87.7024817,Studio Art,,,,,1995,1/1/1995
Communications and Media,Chicago,IL,60647,41.9215421,-87.7024817,English,,,,,2018,1/1/2018
Counseling,Chicago,IL,60647,41.9215421,-87.7024817,Psychology,Cognitive Science,Neuroscience,,,2012,1/1/2012
Fundraising,Chicago,IL,60647,41.9215421,-87.7024817,History,French,,,,2004,1/1/2004
Healthcare,Chicago,IL,60647,41.9215421,-87.7024817,Sociology,Anthropology,,,,1992,1/1/1992
Legal Professions,Chicago,IL,60647,41.9215421,-87.7024817,Mathematics,Philosophy,,,,2006,1/1/2006
Legal Professions,Chicago,IL,60647,41.9215421,-87.7024817,Religion,,,,,2008,1/1/2008
Marketing,Chicago,IL,60647,41.9215421,-87.7024817,Economics,,,,,2004,1/1/2004
Marketing,Chicago,IL,60647,41.9215421,-87.7024817,Psychology,Educational Studies,,,,1999,1/1/1999
Planning,Chicago,IL,60647,41.9215421,-87.7024817,Women's and Gender Studies,,,,,2002,1/1/2002
Sciences,Chicago,IL,60647,41.9215421,-87.7024817,Geology,,,,,2006,1/1/2006
Military/Protective Services,Chicago,IL,60653,41.820267,-87.603826,No Major,,,,,1988,1/1/1988
"Banking, Finance, and Investment",Chicago,IL,60654,41.8929153,-87.6359125,Undecided,,,,,1986,1/1/1986
Business and Commerce,Chicago,IL,60654,41.8929153,-87.6359125,Economics,,,,,2001,1/1/2001
Communications and Media,Chicago,IL,60654,41.8929153,-87.6359125,Political Science,,,,,1992,1/1/1992
Computers/IT,Chicago,IL,60654,41.8929153,-87.6359125,Sociology,Anthropology,,,,1992,1/1/1992
Counseling,Chicago,IL,60654,41.8929153,-87.6359125,Psychology,,,,,2010,1/1/2010
Education,Chicago,IL,60655,41.6931543,-87.7123355,German,,,,,1976,1/1/1976
Agriculture and Forestry,Chicago,IL,60657,41.9403795,-87.6531805,Economics,,,,,2012,1/1/2012
"Banking, Finance, and Investment",Chicago,IL,60657,41.9403795,-87.6531805,History,,,,,2005,1/1/2005
Business and Commerce,Chicago,IL,60657,41.9403795,-87.6531805,Sociology,Anthropology,,,,1979,1/1/1979
Communications and Media,Chicago,IL,60657,41.9403795,-87.6531805,English,,,,,2005,1/1/2005
Communications and Media,Chicago,IL,60657,41.9403795,-87.6531805,Political Science,,Latin American Studies,,,2013,1/1/2013
Computers/IT,Chicago,IL,60657,41.9403795,-87.6531805,English,,,,,1961,1/1/1961
Education,Chicago,IL,60657,41.9403795,-87.6531805,Studio Art,,,,,1999,1/1/1999
Fundraising,Chicago,IL,60657,41.9403795,-87.6531805,History,Archaeology,,,,2017,1/1/2017
Healthcare,Chicago,IL,60657,41.9403795,-87.6531805,Biology,Women's and Gender Studies,,,,2000,1/1/2000
Homemaking,Chicago,IL,60657,41.9403795,-87.6531805,Psychology,,,,,1974,1/1/1974
Homemaking,Chicago,IL,60657,41.9403795,-87.6531805,No Major,,,,,1949,1/1/1949
Legal Professions,Chicago,IL,60657,41.9403795,-87.6531805,Physics,,,,,1985,1/1/1985
Legal Professions,Chicago,IL,60657,41.9403795,-87.6531805,English,,,,,1976,1/1/1976
Legal Professions,Chicago,IL,60657,41.9403795,-87.6531805,Political Science,,,,,1993,1/1/1993
Research and Development,Chicago,IL,60657,41.9403795,-87.6531805,Sociology,Anthropology,,,,1975,1/1/1975
Research and Development,Chicago,IL,60657,41.9403795,-87.6531805,Economics,,,,,2013,1/1/2013
Research and Development,Chicago,IL,60657,41.9403795,-87.6531805,Art History,,,,,2011,1/1/2011
Research and Development,Chicago,IL,60657,41.9403795,-87.6531805,Biology,,,,,2013,1/1/2013
Student,Chicago,IL,60657,41.9403795,-87.6531805,Physics,,,,,2010,1/1/2010
Student,Chicago,IL,60657,41.9403795,-87.6531805,Biology,,,,,2014,1/1/2014
Education,Chicago,IL,60659,41.9909198,-87.7024817,American Studies,Educational Studies,,,,1993,1/1/1993
"Libraries, Archives, and Museums",Chicago,IL,60659,41.9909198,-87.7024817,Classics,,,,,1978,1/1/1978
Arts and Design,Chicago,IL,60660,41.9901263,-87.663045,History,,,,,2009,1/1/2009
"Banking, Finance, and Investment",Chicago,IL,60660,41.9901263,-87.663045,Mathematics,,,,,1966,1/1/1966
Education,Chicago,IL,60660,41.9901263,-87.663045,Russian,Russian,,,,1995,1/1/1995
Legal Professions,Chicago,IL,60660,41.9901263,-87.663045,No Major,,,,,1984,1/1/1984
"Libraries, Archives, and Museums",Chicago,IL,60660,41.9901263,-87.663045,Biology,,,,,2013,1/1/2013
"Libraries, Archives, and Museums",Chicago,IL,60660,41.9901263,-87.663045,American Studies,Media Studies,,,,2004,1/1/2004
Other,Chicago,IL,60660,41.9901263,-87.663045,Music,,,,,1999,1/1/1999
Public Service,Chicago,IL,60660,41.9901263,-87.663045,Chemistry,,,,,1971,1/1/1971
Research and Development,Chicago,IL,60660,41.9901263,-87.663045,Psychology,,,,,1999,1/1/1999
Sciences,Chicago,IL,60660,41.9901263,-87.663045,Biology,,,,,2014,1/1/2014
Social Service,Chicago,IL,60660,41.9901263,-87.663045,No Major,,,,,1980,1/1/1980
Social Service,Chicago,IL,60660,41.9901263,-87.663045,Political Science,,,,,2005,1/1/2005
Student,Chicago,IL,60660,41.9901263,-87.663045,American Studies,Women's and Gender Studies,,,,1996,1/1/1996
Other,Chicago,IL,60664,41.85,-87.65,Philosophy,,,,,1994,1/1/1994
Arts and Design,Elmwood Park,IL,60707,41.9211423,-87.8092266,Studio Art,,,,,1961,1/1/1961
Counseling,Elmwood Park,IL,60707,41.9211423,-87.8092266,Psychology,,,,,1982,1/1/1982
Healthcare,Elmwood Park,IL,60707,41.9211423,-87.8092266,History,,,,,1992,1/1/1992
Homemaking,Lincolnwood,IL,60712,42.0039336,-87.7344988,Sociology,,,,,1949,1/1/1949
Performing Arts,Bourbonnais,IL,60914,41.1760108,-87.879523,Music,,,,,1964,1/1/1964
Public Service,Caledonia,IL,61011,42.369463,-88.8926041,Mathematics,,,,,1984,1/1/1984
"Building, Trades, and Crafts",Dixon,IL,61021,41.8389213,-89.4795478,No Major,,,,,1962,1/1/1962
Planning,Dixon,IL,61021,41.8389213,-89.4795478,Urban Studies,,,,,1977,1/1/1977
Student,Sterling,IL,61081,41.788642,-89.6962194,No Major,,,,,1966,1/1/1966
Homemaking,Rockford,IL,61101,42.3316674,-89.1515476,No Major,,,,,1949,1/1/1949
Student,Rockford,IL,61102,42.2133849,-89.1515476,American Studies,Media Studies,,,,2003,1/1/2003
Performing Arts,Rockford,IL,61103,42.3410008,-89.0847949,No Major,,,,,1973,1/1/1973
Real Estate,Rockford,IL,61107,42.2815937,-89.0466016,No Major,,,,,1957,1/1/1957
Homemaking,Rockford,IL,61114,42.3057779,-88.9940276,No Major,,,,,1947,1/1/1947
Social Service,Granville,IL,61326,41.2611471,-89.2275863,Sociology,,,,,1967,1/1/1967
Clergy and Religious Leadership,Oglesby,IL,61348,41.2953126,-89.0595266,Religion,,,,,1974,1/1/1974
Healthcare,Ottawa,IL,61350,41.3455892,-88.8425769,Biology,,,,,1977,1/1/1977
Education,Galesburg,IL,61401,40.9478158,-90.3712395,No Major,,,,,1952,1/1/1952
"Building, Trades, and Crafts",Cuba,IL,61427,40.4928181,-90.1906768,No Major,,,,,1967,1/1/1967
Legal Professions,Kewanee,IL,61443,41.2455927,-89.9248303,Sociology,Anthropology,,,,1969,1/1/1969
Performing Arts,Monmouth,IL,61462,40.9114271,-90.6473576,Music,,,,,1986,1/1/1986
Legal Professions,Dunlap,IL,61525,40.8617037,-89.6787104,No Major,,,,,1951,1/1/1951
"Building, Trades, and Crafts",West Peoria,IL,61604,40.6925376,-89.627877,No Major,,,,,1953,1/1/1953
Healthcare,East Peoria,IL,61611,40.666149,-89.5800978,Religion,,,,,1970,1/1/1970
Computers/IT,Peoria,IL,61615,40.8064627,-89.6345796,Biology,,,,,1975,1/1/1975
Other,Peoria,IL,61615,40.8064627,-89.6345796,Economics,,,,,1960,1/1/1960
Insurance,Bloomington,IL,61704,40.4772644,-88.9318082,Sociology,Anthropology,,,,1977,1/1/1977
Legal Professions,Bloomington,IL,61704,40.4772644,-88.9318082,Biology,"Science, Technology, and Public Policy",,,,1987,1/1/1987
Computers/IT,Bloomington,IL,61705,40.4842027,-88.9936873,English,,,,,1996,1/1/1996
Insurance,Normal,IL,61761,40.5183163,-88.9701082,Mathematics,,,,,1986,1/1/1986
Service/Hospitality,Normal,IL,61761,40.5183163,-88.9701082,No Major,,,,,1951,1/1/1951
Sciences,Urbana,IL,61802,40.1105875,-88.2072697,Geology,Russian,,,,2001,1/1/2001
Social Service,Urbana,IL,61802,40.1105875,-88.2072697,African/African-American Studies,African/African-American Studies,,,,1989,1/1/1989
Counseling,Champaign,IL,61820,40.1166102,-88.2412504,English,,,,,1965,1/1/1965
Public Service,Champaign,IL,61820,40.1166102,-88.2412504,Music,,,,,1991,1/1/1991
